iteration,map,density,buildings,parks,streets
0,0,0,0,0,0
1,0,0,0,0,1
2,0,0,0,0,2
3,0,0,0,1,0
4,0,0,0,1,1
5,0,0,0,1,2
6,0,0,0,2,0
7,0,0,0,2,1
8,0,0,0,2,2
9,0,1,0,0,0
10,0,1,0,0,1
11,0,1,0,0,2
12,0,1,0,1,0
13,0,1,0,1,1
14,0,1,0,1,2
15,0,1,0,2,0
16,0,1,0,2,1
17,0,1,0,2,2
18,0,2,0,0,0
19,0,2,0,0,1
20,0,2,0,0,2
21,0,2,0,1,0
22,0,2,0,1,1
23,0,2,0,1,2
24,0,2,0,2,0
25,0,2,0,2,1
26,0,2,0,2,2
27,0,0,1,0,0
28,0,0,1,0,1
29,0,0,1,0,2
30,0,0,1,1,0
31,0,0,1,1,1
32,0,0,1,1,2
33,0,0,1,2,0
34,0,0,1,2,1
35,0,0,1,2,2
36,0,1,1,0,0
37,0,1,1,0,1
38,0,1,1,0,2
39,0,1,1,1,0
40,0,1,1,1,1
41,0,1,1,1,2
42,0,1,1,2,0
43,0,1,1,2,1
44,0,1,1,2,2
45,0,2,1,0,0
46,0,2,1,0,1
47,0,2,1,0,2
48,0,2,1,1,0
49,0,2,1,1,1
50,0,2,1,1,2
51,0,2,1,2,0
52,0,2,1,2,1
53,0,2,1,2,2
54,0,0,2,0,0
55,0,0,2,0,1
56,0,0,2,0,2
57,0,0,2,1,0
58,0,0,2,1,1
59,0,0,2,1,2
60,0,0,2,2,0
61,0,0,2,2,1
62,0,0,2,2,2
63,0,1,2,0,0
64,0,1,2,0,1
65,0,1,2,0,2
66,0,1,2,1,0
67,0,1,2,1,1
68,0,1,2,1,2
69,0,1,2,2,0
70,0,1,2,2,1
71,0,1,2,2,2
72,0,2,2,0,0
73,0,2,2,0,1
74,0,2,2,0,2
75,0,2,2,1,0
76,0,2,2,1,1
77,0,2,2,1,2
78,0,2,2,2,0
79,0,2,2,2,1
80,0,2,2,2,2
81,1,0,0,0,0
82,1,0,0,0,1
83,1,0,0,0,2
84,1,0,0,1,0
85,1,0,0,1,1
86,1,0,0,1,2
87,1,0,0,2,0
88,1,0,0,2,1
89,1,0,0,2,2
90,1,1,0,0,0
91,1,1,0,0,1
92,1,1,0,0,2
93,1,1,0,1,0
94,1,1,0,1,1
95,1,1,0,1,2
96,1,1,0,2,0
97,1,1,0,2,1
98,1,1,0,2,2
99,1,2,0,0,0
100,1,2,0,0,1
101,1,2,0,0,2
102,1,2,0,1,0
103,1,2,0,1,1
104,1,2,0,1,2
105,1,2,0,2,0
106,1,2,0,2,1
107,1,2,0,2,2
108,1,0,1,0,0
109,1,0,1,0,1
110,1,0,1,0,2
111,1,0,1,1,0
112,1,0,1,1,1
113,1,0,1,1,2
114,1,0,1,2,0
115,1,0,1,2,1
116,1,0,1,2,2
117,1,1,1,0,0
118,1,1,1,0,1
119,1,1,1,0,2
120,1,1,1,1,0
